sequenceLeft_1,sequenceLeft_2,sequenceLeft_3,sequenceLeft_4,sequenceLeft_5,sequenceLeft_6,sequenceLeft_7,sequenceLeft_8,sequenceRight_1,sequenceRight_2,sequenceRight_3,sequenceRight_4,sequenceRight_5,sequenceRight_6,sequenceRight_7,sequenceRight_8,diffSequence_1,diffSequence_2,diffSequence_3,diffSequence_4,diffSequence_5,diffSequence_6,diffSequence_7,diffSequence_8,flip,leftCorrect,responseLeft,confidence
46,23,64,66,45,58,61,38,26,68,58,34,36,55,54,37,20,-45,6,32,9,3,7,1,0,1,1,6
57,57,46,60,25,21,32,41,25,58,56,65,53,24,39,46,32,-1,-10,-5,-28,-3,-7,-5,1,0,0,6
58,32,54,31,66,40,28,57,44,38,25,36,19,48,66,28,14,-6,29,-5,47,-8,-38,29,0,1,1,6
57,40,68,55,21,38,36,43,39,55,66,42,17,36,31,40,18,-15,2,13,4,2,5,3,0,1,1,6
56,62,44,14,40,57,43,35,35,65,62,38,28,49,41,65,21,-3,-18,-24,12,8,2,-30,1,0,1,6
40,40,45,63,38,23,56,68,51,56,54,60,37,87,38,56,-11,-16,-9,3,1,-64,18,12,1,0,0,6
41,73,73,54,39,41,35,46,39,42,43,42,36,39,82,44,2,31,30,12,3,2,-47,2,0,1,0,2
21,50,38,43,48,36,62,67,39,43,18,24,43,22,56,59,-18,7,20,19,5,14,6,8,0,1,1,6
33,74,53,64,45,33,33,51,63,35,49,15,50,39,41,25,-30,39,4,49,-5,-6,-8,26,0,1,1,6
73,40,50,46,25,44,27,42,30,69,56,47,26,61,35,49,43,-29,-6,-1,-1,-17,-8,-7,1,0,0,2
52,44,61,36,48,71,81,50,37,62,55,20,39,65,57,40,15,-18,6,16,9,6,24,10,0,1,1,6
56,26,42,45,63,72,63,44,38,33,44,64,68,75,65,50,18,-7,-2,-19,-5,-3,-2,-6,1,0,0,6
33,40,70,22,52,46,50,33,58,60,38,27,66,48,68,41,-25,-20,32,-5,-14,-2,-18,-8,1,0,0,6
19,60,53,51,50,74,48,46,17,55,32,60,36,60,32,41,2,5,21,-9,14,14,16,5,0,1,1,6
27,29,18,50,56,45,33,60,32,72,35,59,58,51,37,37,-5,-43,-17,-9,-2,-6,-4,23,1,0,0,3
48,60,69,57,34,33,36,26,54,61,37,69,68,65,37,34,-6,-1,32,-12,-34,-32,-1,-8,1,0,0,6
53,24,39,44,58,26,52,64,47,17,23,35,52,44,23,55,6,7,16,9,6,-18,29,9,0,1,1,6
57,48,39,77,28,38,51,52,36,41,48,71,18,29,45,41,21,7,-9,6,10,9,6,11,0,1,1,6
64,70,59,21,53,47,56,41,24,65,56,66,52,33,41,38,40,5,3,-45,1,14,15,3,0,1,1,6
34,40,41,50,66,67,76,61,54,39,37,19,58,51,66,42,-20,1,4,31,8,16,10,19,0,1,1,6
40,57,23,40,37,62,61,64,39,54,73,28,34,28,46,48,1,3,-50,12,3,34,15,16,0,1,1,6
42,34,66,72,34,48,30,41,48,46,73,28,46,64,68,62,-6,-12,-7,44,-12,-16,-38,-21,1,0,0,3
47,41,79,41,60,51,29,47,53,30,66,25,56,35,27,33,-6,11,13,16,4,16,2,14,0,1,1,6
78,48,45,63,31,38,45,41,69,47,29,50,25,31,32,48,9,1,16,13,6,7,13,-7,0,1,1,6
44,67,43,35,66,28,31,54,20,52,51,68,58,62,50,37,24,15,-8,-33,8,-34,-19,17,1,0,0,1
