sequenceLeft_1,sequenceLeft_2,sequenceLeft_3,sequenceLeft_4,sequenceLeft_5,sequenceLeft_6,sequenceLeft_7,sequenceLeft_8,sequenceRight_1,sequenceRight_2,sequenceRight_3,sequenceRight_4,sequenceRight_5,sequenceRight_6,sequenceRight_7,sequenceRight_8,diffSequence_1,diffSequence_2,diffSequence_3,diffSequence_4,diffSequence_5,diffSequence_6,diffSequence_7,diffSequence_8,flip,leftCorrect,responseLeft,confidence
64,34,58,77,34,55,39,48,65,37,12,41,40,49,55,44,-1,-3,46,36,-6,6,-16,4,0,1,1,2
48,64,38,21,39,63,64,50,69,51,22,64,58,54,40,61,-21,13,16,-43,-19,9,24,-11,1,0,1,1
79,41,60,66,56,33,44,64,73,31,43,46,55,69,36,57,6,10,17,20,1,-36,8,7,0,1,1,3
25,53,30,37,60,50,49,71,69,62,46,39,70,58,66,31,-44,-9,-16,-2,-10,-8,-17,40,1,0,0,2
29,53,57,67,24,54,42,31,22,32,40,58,22,47,22,53,7,21,17,9,2,7,20,-22,0,1,0,1
40,68,54,50,36,42,17,52,26,55,45,68,65,39,58,65,14,13,9,-18,-29,3,-41,-13,1,0,0,2
16,44,59,41,33,44,62,36,45,56,27,56,44,49,79,44,-29,-12,32,-15,-11,-5,-17,-8,1,0,0,1
57,47,65,48,29,30,54,72,32,45,59,30,69,29,49,54,25,2,6,18,-40,1,5,18,0,1,1,5
22,28,54,56,42,66,55,35,20,36,39,25,34,64,52,25,2,-8,15,31,8,2,3,10,0,1,1,6
60,37,50,23,64,43,69,56,31,51,59,48,52,80,66,44,29,-14,-9,-25,12,-37,3,12,1,0,0,6
39,45,47,40,43,66,21,69,51,31,65,57,32,20,42,38,-12,14,-18,-17,11,46,-21,31,0,1,0,2
43,55,39,33,61,41,77,64,13,53,37,48,45,39,64,56,30,2,2,-15,16,2,13,8,0,1,1,5
84,63,55,45,34,61,44,53,82,51,51,37,32,54,54,45,2,12,4,8,2,7,-10,8,0,1,1,6
44,69,19,48,37,39,40,61,59,76,36,59,40,49,41,30,-15,-7,-17,-11,-3,-10,-1,31,1,0,1,5
22,33,65,31,44,63,40,49,63,48,64,50,41,32,59,21,-41,-15,1,-19,3,31,-19,28,1,0,0,5
60,65,47,35,38,60,54,23,73,34,34,47,65,52,42,69,-13,31,13,-12,-27,8,12,-46,1,0,1,5
15,51,56,49,50,63,55,39,36,56,16,23,51,32,41,55,-21,-5,40,26,-1,31,14,-16,0,1,1,5
52,59,46,36,43,45,81,35,49,46,62,16,37,36,61,32,3,13,-16,20,6,9,20,3,0,1,1,6
44,19,48,69,61,37,39,40,59,76,36,59,40,49,41,30,-15,-57,12,10,21,-12,-2,10,1,0,0,5
37,55,52,11,57,33,49,44,48,61,77,37,58,36,50,36,-11,-6,-25,-26,-1,-3,-1,8,1,0,0,4
34,40,19,56,49,58,20,29,45,48,70,50,41,38,58,20,-11,-8,-51,6,8,20,-38,9,1,0,0,3
60,47,25,56,66,27,49,49,29,45,18,38,59,54,48,20,31,2,7,18,7,-27,1,29,0,1,1,4
67,60,34,36,18,47,45,48,23,59,50,31,57,43,69,52,44,1,-16,5,-39,4,-24,-4,1,0,0,2
71,46,45,64,42,52,32,25,46,25,14,38,60,55,39,37,25,21,31,26,-18,-3,-7,-12,0,1,0,2
62,45,44,37,38,56,79,34,35,40,39,43,47,69,21,63,27,5,5,-6,-9,-13,58,-29,0,1,1,1
62,53,87,40,51,43,62,43,38,33,54,64,41,46,79,56,24,20,33,-24,10,-3,-17,-13,0,1,1,3
32,82,49,57,46,46,53,69,66,70,59,39,52,51,40,26,-34,12,-10,18,-6,-5,13,43,0,1,1,5
39,45,47,40,43,66,21,69,51,31,32,38,42,65,20,57,-12,14,15,2,1,1,1,12,0,1,0,3
75,55,52,38,39,47,25,45,73,50,68,51,70,42,53,30,2,5,-16,-13,-31,5,-28,15,1,0,1,4
68,60,30,34,41,60,49,66,66,33,67,33,39,58,43,34,2,27,-37,1,2,2,6,32,0,1,1,2
26,37,50,68,39,48,57,26,55,50,66,75,45,52,26,47,-29,-13,-16,-7,-6,-4,31,-21,1,0,0,4
41,51,44,58,44,81,66,39,70,45,23,60,48,41,32,42,-29,6,21,-2,-4,40,34,-3,0,1,1,5
79,41,60,66,56,33,44,64,31,73,43,69,46,57,55,36,48,-32,17,-3,10,-24,-11,28,0,1,0,3
62,18,65,48,44,55,39,51,53,65,25,31,50,26,49,54,9,-47,40,17,-6,29,-10,-3,0,1,0,2
17,35,33,42,48,68,31,52,55,44,55,41,25,66,47,24,-38,-9,-22,1,23,2,-16,28,1,0,1,3
52,21,31,38,45,66,60,52,51,50,71,30,63,61,70,37,1,-29,-40,8,-18,5,-10,15,1,0,0,6
70,41,65,43,45,48,21,37,40,42,81,44,58,56,33,43,30,-1,-16,-1,-13,-8,-12,-6,1,0,0,6
21,13,43,32,48,40,37,61,47,21,67,36,54,53,51,31,-26,-8,-24,-4,-6,-13,-14,30,1,0,0,4
75,45,42,33,51,24,49,51,69,42,41,27,21,54,40,39,6,3,1,6,30,-30,9,12,0,1,0,4
47,64,42,38,16,48,58,54,30,59,35,19,61,38,39,24,17,5,7,19,-45,10,19,30,0,1,0,2
62,27,57,32,39,24,42,21,38,58,43,63,34,47,22,64,24,-31,14,-31,5,-23,20,-43,1,0,0,2
55,27,32,57,65,33,63,58,48,26,28,48,62,68,32,49,7,1,4,9,3,-35,31,9,0,1,0,2
69,51,22,64,58,54,40,61,64,48,21,63,38,39,64,50,5,3,1,1,20,15,-24,11,0,1,1,1
61,56,55,19,43,39,64,39,55,31,56,14,46,49,39,54,6,25,-1,5,-3,-10,25,-15,0,1,0,2
49,71,28,43,65,37,58,36,59,52,22,37,63,32,56,30,-10,19,6,6,2,5,2,6,0,1,1,3
26,46,32,49,37,72,46,58,55,23,31,46,27,49,17,55,-29,23,1,3,10,23,29,3,0,1,1,5
38,55,51,38,63,18,40,62,50,61,60,61,25,36,42,68,-12,-6,-9,-23,38,-18,-2,-6,1,0,0,3
46,37,15,61,58,55,39,51,33,22,61,58,46,46,21,39,13,15,-46,3,12,9,18,12,0,1,1,4
75,45,42,33,51,24,49,51,42,41,69,40,27,39,21,54,33,4,-27,-7,24,-15,28,-3,0,1,1,4
68,60,30,24,39,36,36,38,66,58,19,53,38,45,53,62,2,2,11,-29,1,-9,-17,-24,1,0,1,4
26,46,32,49,37,72,46,58,55,49,55,23,46,31,27,17,-29,-3,-23,26,-9,41,19,41,0,1,1,5
29,45,38,18,20,48,59,54,60,47,25,56,66,27,49,49,-31,-2,13,-38,-46,21,10,5,1,0,0,5
69,63,34,46,74,35,64,58,64,33,33,35,68,65,58,50,5,30,1,11,6,-30,6,8,0,1,1,5
52,34,71,33,39,22,43,47,57,44,21,54,41,40,49,71,-5,-10,50,-21,-2,-18,-6,-24,1,0,1,5
37,32,62,64,75,51,61,44,36,49,43,54,73,19,44,39,1,-17,19,10,2,32,17,5,0,1,1,4
64,48,57,67,20,64,48,43,53,33,39,62,67,58,34,30,11,15,18,5,-47,6,14,13,0,1,1,5
39,36,45,52,63,44,71,26,54,41,23,58,25,41,18,49,-15,-5,22,-6,38,3,53,-23,0,1,1,5
41,34,77,42,29,46,47,34,69,35,39,45,41,76,56,52,-28,-1,38,-3,-12,-30,-9,-18,1,0,0,6
52,71,34,33,43,47,39,22,57,44,21,54,41,40,49,71,-5,27,13,-21,2,7,-10,-49,1,0,1,5
27,39,44,51,39,69,19,43,43,40,49,53,47,72,41,17,-16,-1,-5,-2,-8,-3,-22,26,1,0,0,6
62,21,58,52,73,54,53,44,62,44,13,53,35,54,43,50,0,-23,45,-1,38,0,10,-6,0,1,1,6
42,55,56,41,51,18,59,28,58,42,67,35,30,70,51,66,-16,13,-11,6,21,-52,8,-38,1,0,0,6
22,77,50,49,45,51,54,61,50,43,64,24,29,52,56,29,-28,34,-14,25,16,-1,-2,32,0,1,1,4
51,58,53,59,19,62,33,59,43,31,30,54,67,44,18,43,8,27,23,5,-48,18,15,16,0,1,1,5
26,27,56,54,38,70,51,55,49,30,52,18,52,55,29,58,-23,-3,4,36,-14,15,22,-3,0,1,1,5
42,16,67,50,58,54,37,51,45,38,55,18,33,39,66,52,-3,-22,12,32,25,15,-29,-1,0,1,1,3
48,52,28,79,61,55,37,53,55,48,25,59,56,48,18,42,-7,4,3,20,5,7,19,11,0,1,1,2
38,48,44,76,76,64,43,48,35,61,42,45,18,65,58,51,3,-13,2,31,58,-1,-15,-3,0,1,1,5
39,36,45,52,63,44,71,26,54,23,41,25,58,41,49,18,-15,13,4,27,5,3,22,8,0,1,1,4
49,38,76,25,44,52,56,35,43,42,36,50,43,73,18,42,6,-4,40,-25,1,-21,38,-7,0,1,0,6
53,65,50,25,31,54,26,49,62,18,65,48,44,55,39,51,-9,47,-15,-23,-13,-1,-13,-2,1,0,0,3
42,53,39,55,31,35,75,61,33,44,62,29,65,64,67,62,9,9,-23,26,-34,-29,8,-1,1,0,1,4
70,45,23,41,42,48,60,32,41,51,44,58,44,81,66,39,29,-6,-21,-17,-2,-33,-6,-7,1,0,0,5
38,69,49,20,44,35,55,56,68,46,27,18,40,31,43,32,-30,23,22,2,4,4,12,24,0,1,1,5
18,33,40,29,61,50,50,24,53,38,72,28,56,42,30,46,-35,-5,-32,1,5,8,20,-22,1,0,0,6
73,34,34,47,65,52,42,69,60,65,23,35,60,47,38,54,13,-31,11,12,5,5,4,15,0,1,1,6
33,58,33,64,35,50,68,65,69,63,34,46,74,35,64,58,-36,-5,-1,18,-39,15,4,7,1,0,0,6
68,27,18,40,46,43,31,32,38,69,49,20,44,35,55,56,30,-42,-31,20,2,8,-24,-24,1,0,0,3
41,19,68,47,46,46,59,37,25,41,60,44,31,12,50,34,16,-22,8,3,15,34,9,3,0,1,1,2
42,56,45,70,77,62,37,43,69,31,44,49,58,56,23,39,-27,25,1,21,19,6,14,4,0,1,1,6
67,34,47,18,45,36,60,48,23,59,50,31,57,43,69,52,44,-25,-3,-13,-12,-7,-9,-4,1,0,0,5
25,41,31,60,50,12,34,44,41,19,68,47,46,46,59,37,-16,22,-37,13,4,-34,-25,7,1,0,0,2
16,38,50,50,56,50,28,59,38,47,52,52,81,53,54,31,-22,-9,-2,-2,-25,-3,-26,28,1,0,0,6
77,41,53,47,38,28,45,34,52,64,69,72,48,30,52,37,25,-23,-16,-25,-10,-2,-7,-3,1,0,0,3
34,38,48,50,80,51,38,36,35,70,49,76,34,53,45,47,-1,-32,-1,-26,46,-2,-7,-11,1,0,0,2
48,61,77,37,58,36,50,36,55,52,37,11,33,49,57,44,-7,9,40,26,25,-13,-7,-8,0,1,1,1
32,74,50,40,43,62,28,49,34,41,16,47,68,51,49,38,-2,33,34,-7,-25,11,-21,11,0,1,1,2
53,76,37,42,71,50,43,67,44,54,29,69,55,27,39,60,9,22,8,-27,16,23,4,7,0,1,1,5
60,59,44,46,34,48,20,68,73,60,74,56,51,58,33,34,-13,-1,-30,-10,-17,-10,-13,34,1,0,0,3
28,56,74,54,38,48,46,67,58,76,28,60,41,57,54,69,-30,-20,46,-6,-3,-9,-8,-2,1,0,0,3
45,53,48,68,66,46,66,25,66,47,58,24,23,47,46,38,-21,6,-10,44,43,-1,20,-13,0,1,0,2
41,73,30,64,35,49,47,64,39,29,38,30,30,51,48,72,2,44,-8,34,5,-2,-1,-8,0,1,1,2
22,33,63,44,40,31,49,65,63,48,64,50,41,32,59,21,-41,-15,-1,-6,-1,-1,-10,44,1,0,1,5
45,43,47,40,54,27,75,30,29,49,42,62,49,82,57,55,16,-6,5,-22,5,-55,18,-25,1,0,0,4
45,71,69,60,40,34,33,41,22,62,63,53,51,72,49,53,23,9,6,7,-11,-38,-16,-12,1,0,1,1
60,47,49,63,30,36,51,75,64,29,53,61,74,56,37,63,-4,18,-4,2,-44,-20,14,12,1,0,1,3
66,47,24,58,47,38,46,23,45,53,48,68,66,46,66,25,21,-6,-24,-10,-19,-8,-20,-2,1,0,0,6
35,39,30,68,69,33,43,52,48,38,74,65,62,62,28,57,-13,1,-44,3,7,-29,15,-5,1,0,0,6
31,51,59,48,52,80,66,44,60,37,56,23,50,69,64,43,-29,14,3,25,2,11,2,1,0,1,1,6
22,51,61,44,62,35,31,30,61,49,36,24,49,49,71,62,-39,2,25,20,13,-14,-40,-32,1,0,0,4
30,66,68,44,42,73,63,57,70,57,27,47,50,41,70,45,-40,9,41,-3,-8,32,-7,12,0,1,1,3
34,40,29,49,19,20,56,58,45,48,70,50,41,38,58,20,-11,-8,-41,-1,-22,-18,-2,38,1,0,1,3
35,68,42,24,58,58,57,58,28,60,31,68,49,46,31,54,7,8,11,-44,9,12,26,4,0,1,1,2
46,19,33,57,42,69,52,49,78,64,58,54,35,59,30,52,-32,-45,-25,3,7,10,22,-3,1,0,1,2
84,63,55,45,34,61,44,53,82,51,37,51,54,32,45,54,2,12,18,-6,-20,29,-1,-1,0,1,1,4
39,33,47,60,57,53,28,72,36,60,41,48,54,46,15,60,3,-27,6,12,3,7,13,12,0,1,1,5
55,59,56,48,25,18,48,42,48,52,28,79,61,55,37,53,7,7,28,-31,-36,-37,11,-11,1,0,0,4
38,48,44,76,76,64,43,48,35,61,42,58,65,51,18,45,3,-13,2,18,11,13,25,3,0,1,1,5
62,16,49,46,37,32,36,61,52,59,46,36,43,45,81,35,10,-43,3,10,-6,-13,-45,26,1,0,0,6
45,68,59,21,36,53,58,49,39,35,71,33,42,64,30,43,6,33,-12,-12,-6,-11,28,6,0,1,1,3
48,50,50,20,34,60,64,31,52,43,58,31,75,51,52,29,-4,7,-8,-11,-41,9,12,2,1,0,0,1
49,18,55,52,30,58,29,52,26,27,56,54,38,70,51,55,23,-9,-1,-2,-8,-12,-22,-3,1,0,0,3
53,76,37,42,71,50,43,67,44,29,54,69,27,55,60,39,9,47,-17,-27,44,-5,-17,28,0,1,1,5
25,30,53,37,71,60,50,49,69,62,46,39,70,58,66,31,-44,-32,7,-2,1,2,-16,18,1,0,1,4
51,34,31,52,22,66,43,62,67,26,38,31,53,28,55,29,-16,8,-7,21,-31,38,-12,33,0,1,1,2
54,83,47,63,66,54,33,43,27,55,35,60,64,53,57,26,27,28,12,3,2,1,-24,17,0,1,1,3
27,55,53,35,26,60,64,57,54,83,47,63,66,54,33,43,-27,-28,6,-28,-40,6,31,14,1,0,0,2
55,46,76,39,25,47,37,54,66,25,69,36,56,53,51,52,-11,21,7,3,-31,-6,-14,2,1,0,1,2
36,60,43,69,30,59,44,30,52,18,18,48,40,27,57,42,-16,42,25,21,-10,32,-13,-12,0,1,1,3
46,60,49,70,56,61,40,20,39,66,69,37,27,45,48,37,7,-6,-20,33,29,16,-8,-17,0,1,1,2
37,59,50,56,29,43,77,54,46,65,44,54,77,28,61,62,-9,-6,6,2,-48,15,16,-8,1,0,1,2
36,49,24,36,53,39,71,60,42,52,48,84,56,46,39,68,-6,-3,-24,-48,-3,-7,32,-8,1,0,0,6
13,39,53,48,64,45,56,37,43,55,39,33,61,41,77,64,-30,-16,14,15,3,4,-21,-27,1,0,0,4
47,53,40,65,45,14,47,36,68,59,49,70,57,29,36,38,-21,-6,-9,-5,-12,-15,11,-2,1,0,0,4
47,64,42,38,16,48,58,54,30,35,38,39,19,59,61,24,17,29,4,-1,-3,-11,-3,30,0,1,0,3
31,37,69,58,56,65,54,32,42,61,77,66,57,27,55,48,-11,-24,-8,-8,-1,38,-1,-16,1,0,0,3
50,64,43,24,29,29,52,56,22,77,50,49,45,51,54,61,28,-13,-7,-25,-16,-22,-2,-5,1,0,0,3
35,30,68,39,33,43,69,52,48,38,74,65,62,62,28,57,-13,-8,-6,-26,-29,-19,41,-5,1,0,1,3
23,57,21,55,41,47,59,57,44,31,39,60,46,70,73,60,-21,26,-18,-5,-5,-23,-14,-3,1,0,0,3
51,58,53,59,19,62,33,59,43,31,54,30,44,67,43,18,8,27,-1,29,-25,-5,-10,41,0,1,0,3
61,34,56,84,51,50,42,43,59,45,53,78,45,47,40,26,2,-11,3,6,6,3,2,17,0,1,1,5
55,50,66,75,45,52,26,47,26,37,39,26,50,68,57,48,29,13,27,49,-5,-16,-31,-1,0,1,1,5
45,44,29,55,71,51,25,54,44,73,60,59,48,45,76,34,1,-29,-31,-4,23,6,-51,20,1,0,0,5
46,61,46,33,22,58,39,21,46,37,15,61,58,55,39,51,0,24,31,-28,-36,3,0,-30,1,0,0,4
40,42,81,44,58,56,33,43,41,70,45,48,65,43,21,37,-1,-28,36,-4,-7,13,12,6,0,1,1,5
72,55,64,49,48,60,56,23,55,57,56,25,63,65,28,44,17,-2,8,24,-15,-5,28,-21,0,1,0,3
28,61,64,40,52,53,65,29,34,36,57,21,53,60,23,43,-6,25,7,19,-1,-7,42,-14,0,1,0,3
43,36,42,73,43,50,42,18,49,38,76,25,44,52,56,35,-6,-2,-34,48,-1,-2,-14,-17,1,0,1,6
37,32,62,64,75,51,61,44,36,43,73,19,39,54,44,49,1,-11,-11,45,36,-3,17,-5,0,1,1,4
63,59,57,25,39,46,67,36,34,40,45,79,36,41,47,35,29,19,12,-54,3,5,20,1,0,1,0,4
33,48,79,42,32,49,34,43,16,31,50,38,17,46,56,42,17,17,29,4,15,3,-22,1,0,1,1,5
61,21,28,46,45,64,58,46,43,44,36,49,57,84,64,57,18,-23,-8,-3,-12,-20,-6,-11,1,0,0,4
46,25,38,60,39,37,14,55,71,46,45,64,42,52,32,25,-25,-21,-7,-4,-3,-15,-18,30,1,0,0,3
16,41,33,59,44,62,36,44,45,56,27,56,44,49,79,44,-29,-15,6,3,0,13,-43,0,1,0,0,1
50,66,51,61,49,50,32,82,58,40,32,79,63,39,54,45,-8,26,19,-18,-14,11,-22,37,0,1,1,3
22,62,63,53,51,72,49,53,71,45,60,40,34,69,33,41,-49,17,3,13,17,3,16,12,0,1,1,4
44,73,44,20,38,47,34,33,69,24,59,33,47,58,42,34,-25,49,-15,-13,-9,-11,-8,-1,1,0,1,3
15,51,56,49,50,63,55,39,36,16,55,23,41,56,51,32,-21,35,1,26,9,7,4,7,0,1,1,3
26,55,45,68,65,39,58,65,68,40,36,54,50,17,42,52,-42,15,9,14,15,22,16,13,0,1,1,3
43,17,46,59,68,55,53,42,47,63,63,39,42,31,20,49,-4,-46,-17,20,26,24,33,-7,0,1,1,3
44,53,36,44,47,60,66,16,34,50,28,42,17,59,61,48,10,3,8,2,30,1,5,-32,0,1,1,3
39,20,52,59,26,40,54,57,64,22,46,31,67,48,43,56,-25,-2,6,28,-41,-8,11,1,1,0,0,2
53,38,72,28,56,42,30,46,18,33,50,61,50,40,29,24,35,5,22,-33,6,2,1,22,0,1,1,4
49,63,44,76,35,55,30,50,39,45,67,36,36,58,38,16,10,18,-23,40,-1,-3,-8,34,0,1,1,4
55,15,25,44,49,57,47,49,31,27,38,47,56,72,54,52,24,-12,-13,-3,-7,-15,-7,-3,1,0,0,3
50,21,35,42,67,63,41,57,71,29,63,35,63,42,55,48,-21,-8,-28,7,4,21,-14,9,1,0,1,4
59,70,59,34,45,29,37,60,73,42,63,29,38,63,62,54,-14,28,-4,5,7,-34,-25,6,1,0,1,2
36,36,48,55,80,61,45,38,50,47,54,73,31,78,53,44,-14,-11,-6,-18,49,-17,-8,-6,1,0,1,2
61,58,46,64,45,21,46,28,43,44,36,49,57,84,64,57,18,14,10,15,-12,-63,-18,-29,1,0,0,2
50,35,55,64,45,75,65,35,49,22,47,44,27,45,62,64,1,13,8,20,18,30,3,-29,0,1,1,2
37,45,26,55,63,65,37,66,26,43,74,35,28,36,36,47,11,2,-48,20,35,29,1,19,0,1,0,2
47,21,67,36,54,53,51,31,21,43,13,48,32,61,40,37,26,-22,54,-12,22,-8,11,-6,0,1,1,2
41,41,65,60,42,38,80,49,34,36,50,57,36,81,48,45,7,5,15,3,6,-43,32,4,0,1,0,2
37,59,29,50,43,77,54,56,46,65,44,54,77,28,61,62,-9,-6,-15,-4,-34,49,-7,-6,1,0,0,1
66,70,39,52,40,26,51,59,32,82,49,57,46,46,53,69,34,-12,-10,-5,-6,-20,-2,-10,1,0,0,5
68,32,40,30,42,50,68,44,31,57,61,31,44,56,76,52,37,-25,-21,-1,-2,-6,-8,-8,1,0,0,4
58,78,44,39,31,53,40,39,42,57,35,75,30,44,38,34,16,21,9,-36,1,9,2,5,0,1,1,2
41,73,30,64,35,49,47,64,39,29,72,30,30,48,38,51,2,44,-42,34,5,1,9,13,0,1,1,2
15,56,47,31,59,60,44,39,65,59,73,61,38,48,40,32,-50,-3,-26,-30,21,12,4,7,1,0,1,2
62,57,27,32,24,39,21,42,38,58,43,63,34,47,22,64,24,-1,-16,-31,-10,-8,-1,-22,1,0,0,2
70,22,57,64,52,37,54,49,60,60,33,63,51,22,48,40,10,-38,24,1,1,15,6,9,0,1,1,1
77,41,47,28,53,38,34,45,52,64,69,72,48,30,52,37,25,-23,-22,-44,5,8,-18,8,1,0,1,1
34,68,49,38,41,51,16,47,32,74,50,40,43,62,28,49,2,-6,-1,-2,-2,-11,-12,-2,1,0,0,1
55,27,32,57,65,33,63,58,62,48,28,26,48,49,68,32,-7,-21,4,31,17,-16,-5,26,0,1,0,2
50,47,54,73,31,78,53,44,36,55,80,36,38,61,48,45,14,-8,-26,37,-7,17,5,-1,0,1,0,3
39,27,63,37,24,57,22,48,42,50,18,39,55,61,66,54,-3,-23,45,-2,-31,-4,-44,-6,1,0,0,2
35,70,49,76,34,53,45,47,80,38,50,38,36,48,34,51,-45,32,-1,38,-2,5,11,-4,0,1,1,3
41,41,65,60,42,38,80,49,34,50,57,36,48,45,36,81,7,-9,8,24,-6,-7,44,-32,0,1,1,1
77,41,67,72,50,43,50,39,40,39,61,51,74,36,44,30,37,2,6,21,-24,7,6,9,0,1,0,2
18,34,49,46,38,32,68,51,48,33,30,55,31,38,61,70,-30,1,19,-9,7,-6,7,-19,1,0,0,2
55,76,46,25,54,39,47,37,66,25,69,36,56,53,51,52,-11,51,-23,-11,-2,-14,-4,-15,1,0,0,2
52,68,23,48,43,43,54,72,53,55,24,24,45,28,59,49,-1,13,-1,24,-2,15,-5,23,0,1,1,2
65,59,73,61,38,48,40,32,15,56,47,59,60,44,39,31,50,3,26,2,-22,4,1,1,0,1,0,2
45,68,59,21,36,53,58,49,39,64,35,71,33,30,42,43,6,4,24,-50,3,23,16,6,0,1,1,1
46,60,49,70,56,61,40,20,39,37,27,66,45,48,37,69,7,23,22,4,11,13,3,-49,0,1,1,1
36,52,41,57,34,46,61,81,23,52,60,57,66,51,27,42,13,0,-19,0,-32,-5,34,39,0,1,1,2
53,33,39,34,30,67,62,58,64,48,57,67,20,64,48,43,-11,-15,-18,-33,10,3,14,15,1,0,1,1
61,56,55,19,43,39,64,39,55,46,49,56,39,31,54,14,6,10,6,-37,4,8,10,25,0,1,1,2
65,50,32,43,17,50,60,44,30,48,35,14,60,52,40,49,35,2,-3,29,-43,-2,20,-5,0,1,0,2
29,53,57,67,24,54,42,31,22,32,58,22,40,22,47,53,7,21,-1,45,-16,32,-5,-22,0,1,1,1
44,53,36,44,47,60,66,16,59,34,61,28,50,42,17,48,-15,19,-25,16,-3,18,49,-32,0,1,1,2
60,30,68,24,36,36,38,39,66,58,19,53,38,45,53,62,-6,-28,49,-29,-2,-9,-15,-23,1,0,1,2
50,61,60,61,25,36,42,68,55,63,38,51,38,40,18,62,-5,-2,22,10,-13,-4,24,6,0,1,1,3
35,69,67,69,58,50,42,34,24,52,26,67,57,36,41,54,11,17,41,2,1,14,1,-20,0,1,1,2
42,61,77,66,57,27,55,48,69,31,37,32,56,54,58,65,-27,30,40,34,1,-27,-3,-17,0,1,1,2
51,53,19,35,62,48,65,37,69,35,34,37,64,50,66,46,-18,18,-15,-2,-2,-2,-1,-9,1,0,0,3
76,61,49,63,43,56,44,26,49,61,28,58,43,54,42,19,27,0,21,5,0,2,2,7,0,1,1,3
52,38,39,29,32,54,57,72,35,36,34,51,18,47,52,68,17,2,5,-22,14,7,5,4,0,1,1,3
63,64,32,58,41,53,22,45,48,38,86,66,56,47,58,44,15,26,-54,-8,-15,6,-36,1,1,0,0,3
40,53,74,55,73,38,68,40,50,52,56,68,51,39,17,42,-10,1,18,-13,22,-1,51,-2,0,1,1,2
55,32,64,48,25,49,71,57,39,27,55,26,67,40,61,51,16,5,9,22,-42,9,10,6,0,1,1,2
69,58,48,58,58,48,19,58,67,33,45,35,42,37,73,50,2,25,3,23,16,11,-54,8,0,1,0,2
40,46,75,39,41,41,22,53,64,51,82,46,45,51,33,51,-24,-5,-7,-7,-4,-10,-11,2,1,0,1,2
58,27,56,62,47,72,33,54,52,30,17,62,49,32,48,54,6,-3,39,0,-2,40,-15,0,0,1,1,3
76,36,30,39,53,45,46,59,28,37,39,54,37,31,71,58,48,-1,-9,-15,16,14,-25,1,0,1,1,2
36,42,62,31,28,46,65,25,69,30,47,74,53,45,36,49,-33,12,15,-43,-25,1,29,-24,1,0,0,2
28,44,77,45,60,50,47,36,43,49,23,60,68,55,48,68,-15,-5,54,-15,-8,-5,-1,-32,1,0,1,2
39,61,46,54,41,70,22,51,29,46,49,13,42,35,42,62,10,15,-3,41,-1,35,-20,-11,0,1,1,3
70,36,55,43,57,66,32,71,57,29,48,30,52,59,76,52,13,7,7,13,5,7,-44,19,0,1,1,3
35,51,36,47,52,68,34,18,52,38,39,29,32,54,57,72,-17,13,-3,18,20,14,-23,-54,1,0,0,4
34,32,62,47,49,24,41,70,37,49,72,53,52,26,63,39,-3,-17,-10,-6,-3,-2,-22,31,1,0,1,2
56,37,50,26,24,34,58,22,32,28,42,48,49,62,36,70,24,9,8,-22,-25,-28,22,-48,1,0,1,2
31,24,55,56,37,55,67,36,24,56,35,25,36,44,58,16,7,-32,20,31,1,11,9,20,0,1,0,2
59,29,56,58,46,60,74,33,59,29,52,56,22,59,47,28,0,0,4,2,24,1,27,5,0,1,1,4
61,38,59,64,67,70,30,45,48,65,69,44,52,24,35,62,13,-27,-10,20,15,46,-5,-17,0,1,1,4
74,74,32,44,50,55,42,48,52,31,40,51,67,42,28,70,22,43,-8,-7,-17,13,14,-22,0,1,0,3
35,63,49,82,40,54,53,66,51,26,60,51,74,58,33,54,-16,37,-11,31,-34,-4,20,12,0,1,1,4
40,59,34,42,81,44,55,55,64,79,53,26,50,63,53,51,-24,-20,-19,16,31,-19,2,4,1,0,1,4
41,16,57,58,36,44,58,61,34,21,43,33,41,51,63,20,7,-5,14,25,-5,-7,-5,41,0,1,0,4
60,28,44,45,47,77,50,36,43,49,23,60,68,55,48,68,17,-21,21,-15,-21,22,2,-32,1,0,1,2
71,59,40,46,50,36,22,45,36,80,50,48,59,42,34,49,35,-21,-10,-2,-9,-6,-12,-4,1,0,0,2
48,60,59,54,59,20,53,71,63,41,47,59,44,23,69,44,-15,19,12,-5,15,-3,-16,27,0,1,0,3
49,59,59,19,43,32,39,26,33,58,43,55,22,54,64,29,16,1,16,-36,21,-22,-25,-3,1,0,0,2
28,45,24,35,36,40,55,71,29,61,27,37,51,67,58,40,-1,-16,-3,-2,-15,-27,-3,31,1,0,1,2
24,65,52,50,55,71,44,68,75,31,38,44,50,61,42,62,-51,34,14,6,5,10,2,6,0,1,1,3
55,45,18,59,46,36,26,54,50,56,83,45,48,31,42,44,5,-11,-65,14,-2,5,-16,10,1,0,1,3
35,61,64,55,54,26,54,27,60,36,58,63,41,30,47,72,-25,25,6,-8,13,-4,7,-45,1,0,1,3
52,67,31,40,42,51,28,70,74,74,32,44,50,55,42,48,-22,-7,-1,-4,-8,-4,-14,22,1,0,0,3
44,49,64,52,44,29,74,31,62,39,52,48,37,21,63,28,-18,10,12,4,7,8,11,3,0,1,1,2
64,56,65,48,25,48,33,31,35,32,17,23,48,66,47,38,29,24,48,25,-23,-18,-14,-7,0,1,0,4
