subject,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,human_choice,normative_choice,EV_left,EV_right,EV_diff,complexity,is_correct,dataset_source,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy
1,28,73,54,47,63,45,57,74,47,36,58,35,54,19,64,47,1,1,55.125,45.0,10.125,5.221959525152423,1,lab,18.044649483988323,37.0,-19.0,2,2.0794415416798357
1,43,47,83,57,44,53,24,80,52,43,61,68,38,53,53,62,1,1,53.875,53.75,0.125,14.904831447269572,1,lab,15.422690264671726,22.0,-29.0,1,2.0794415416798357
1,60,56,34,52,51,53,70,61,80,65,53,62,21,40,76,43,1,0,54.625,55.0,-0.375,14.901206989956638,0,lab,17.21146057137511,30.0,-20.0,-2,2.0794415416798357
1,61,81,78,63,64,42,55,39,36,61,50,38,60,53,74,31,1,1,60.375,50.375,10.0,5.244124551227378,1,lab,16.56804152578089,28.0,-19.0,4,1.9061547465398496
1,47,56,68,42,67,22,47,50,64,65,67,45,29,76,71,63,1,0,49.875,60.0,-10.125,5.338801818009266,0,lab,24.147657753910625,38.0,-54.0,-4,2.0794415416798357
1,55,64,63,73,69,41,62,51,28,62,74,55,83,85,51,44,1,0,59.75,60.25,-0.5,14.744671200127604,0,lab,20.850659461993043,27.0,-44.0,2,2.0794415416798357
1,59,59,20,51,39,60,58,30,72,31,49,61,61,66,42,73,0,0,47.0,56.875,-9.875,5.670497740503519,1,lab,21.61849613178493,28.0,-43.0,-4,2.0794415416798357
1,44,31,56,54,91,72,72,42,68,57,55,54,43,71,51,67,1,0,57.75,58.25,-0.5,14.404138127826558,0,lab,24.03643068344383,48.0,-26.0,1,1.9061547465398496
1,32,65,68,46,81,48,59,52,33,49,44,38,24,51,74,52,1,1,56.375,45.625,10.75,4.849145275730121,1,lab,20.783106120115924,57.0,-15.0,1,2.0794415416798357
1,51,54,38,61,13,44,50,48,39,36,66,69,52,53,48,78,0,0,44.875,55.125,-10.25,4.86290838985005,1,lab,19.30511590226798,18.0,-39.0,-2,2.0794415416798357
1,43,47,63,32,56,33,66,71,42,73,24,33,32,49,31,45,1,1,51.375,41.125,10.25,5.278468479967151,1,lab,22.61498397081015,39.0,-26.0,2,2.0794415416798357
1,50,48,68,45,48,41,44,66,39,50,60,59,45,34,92,30,0,1,51.25,51.125,0.125,15.050501090024452,0,lab,22.48019962099981,36.0,-48.0,2,2.0794415416798357
1,50,46,43,43,58,46,53,72,82,25,52,30,51,37,69,63,1,1,51.375,51.125,0.25,14.838627063675034,1,lab,16.513252253871737,21.0,-32.0,2,1.9061547465398496
1,40,60,58,41,38,41,54,82,55,44,42,53,35,33,15,61,1,1,51.75,42.25,9.5,5.687714333192689,1,lab,16.560495161679196,39.0,-15.0,4,1.9061547465398496
1,60,36,48,63,72,53,28,62,45,30,32,38,48,59,68,26,1,1,52.75,43.25,9.5,5.564306599818437,1,lab,22.15851980616034,36.0,-40.0,4,2.0794415416798357
1,73,69,35,52,29,31,63,78,62,42,41,55,71,59,50,54,1,0,53.75,54.25,-0.5,14.709646062066446,0,lab,22.874658467395747,27.0,-42.0,0,2.0794415416798357
1,43,55,66,31,29,53,76,15,54,41,47,38,68,36,43,42,0,0,46.0,46.125,-0.125,15.531601376629178,1,lab,23.33151034545342,33.0,-39.0,0,2.0794415416798357
1,64,47,47,52,55,43,71,64,63,69,25,79,68,63,46,27,1,1,55.375,55.0,0.375,14.97087349528639,1,lab,23.07562296017163,37.0,-27.0,0,2.0794415416798357
1,28,26,63,47,52,66,14,66,43,48,64,31,53,45,42,37,1,0,45.25,45.375,-0.125,15.31399284279904,0,lab,19.470731239478397,29.0,-28.0,-2,1.9061547465398496
1,66,56,63,76,52,64,41,60,85,58,53,63,40,28,68,84,0,0,59.75,59.875,-0.125,15.168653367764465,1,lab,20.55138377336183,36.0,-27.0,0,2.0794415416798357
1,54,37,44,56,47,36,26,49,47,22,62,79,42,24,45,29,1,0,43.625,43.75,-0.125,14.898176539378525,0,lab,16.034630491533004,20.0,-23.0,2,2.0794415416798357
1,26,73,44,41,17,35,72,47,52,40,39,52,30,59,39,38,1,1,44.375,43.625,0.75,14.36731898629295,1,lab,21.856063231972954,33.0,-26.0,0,1.9061547465398496
1,28,46,54,29,51,69,31,34,49,37,34,69,70,60,65,38,0,0,42.75,52.75,-10.0,5.299237453764375,1,lab,20.42057785666214,20.0,-40.0,-2,1.9061547465398496
1,30,43,60,32,29,30,31,67,58,59,37,72,37,36,35,63,0,0,40.25,49.625,-9.375,5.9241012807942415,1,lab,18.020387759424047,23.0,-40.0,-4,2.0794415416798357
1,71,53,69,47,73,60,54,27,40,45,38,36,72,68,49,31,0,1,56.75,47.375,9.375,6.032655023829335,0,lab,13.738063000292291,31.0,-8.0,4,1.9061547465398496
1,40,52,45,58,29,37,45,59,54,33,65,44,44,10,45,76,1,0,45.625,46.375,-0.75,14.646969398770223,0,lab,17.289809137176732,27.0,-20.0,-1,2.0794415416798357
1,29,32,50,42,67,22,47,31,36,64,61,63,66,45,36,28,0,0,40.0,49.875,-9.875,5.411023027589616,1,lab,13.760791219984409,11.0,-32.0,-2,2.0794415416798357
1,30,74,65,69,81,38,30,63,46,74,50,57,51,64,58,45,0,1,56.25,55.625,0.625,14.86464708011989,0,lab,20.32816703492964,30.0,-28.0,1,2.0794415416798357
1,54,54,44,59,63,30,19,42,57,52,29,51,63,49,75,74,0,0,45.625,56.25,-10.625,4.856036786985554,1,lab,22.13559068559048,15.0,-56.0,-1,2.0794415416798357
1,14,48,63,42,49,75,70,36,40,50,49,55,34,47,62,62,1,0,49.625,49.875,-0.25,14.878339851638271,0,lab,18.686559340873856,28.0,-26.0,0,1.9061547465398496
1,27,53,61,52,27,27,55,60,43,67,32,66,50,70,43,67,0,0,45.25,54.75,-9.5,5.779616051022574,1,lab,20.426698215815495,29.0,-43.0,-4,1.9061547465398496
1,51,43,15,63,38,42,34,61,71,53,59,63,22,56,40,61,0,0,43.375,53.125,-9.75,6.000132274576828,1,lab,16.444984037693683,16.0,-44.0,-4,1.9061547465398496
1,28,56,17,82,30,37,43,49,51,39,26,46,48,33,53,51,0,0,42.75,43.375,-0.625,14.647933575446466,1,lab,18.15170446542142,36.0,-23.0,-2,2.0794415416798357
1,31,36,54,26,42,74,39,40,50,37,82,49,64,54,37,52,1,0,42.75,53.125,-10.375,4.945873560821088,0,lab,15.189943219117048,20.0,-28.0,-4,2.0794415416798357
1,58,63,51,58,63,71,60,39,21,81,72,71,72,48,43,53,1,1,57.875,57.625,0.25,14.895956556124146,1,lab,20.60794749605113,37.0,-21.0,-2,2.0794415416798357
1,37,55,32,45,59,49,59,47,41,54,69,72,58,12,48,33,1,0,47.875,48.375,-0.5,14.559327120868758,0,lab,21.79449471770337,37.0,-37.0,2,1.9061547465398496
1,52,28,70,71,49,65,19,29,33,42,64,49,47,51,42,58,1,0,47.875,48.25,-0.375,15.084490073522261,0,lab,18.18610389830653,22.0,-29.0,2,2.0794415416798357
1,94,39,37,58,32,53,63,62,65,45,42,61,62,46,67,53,1,0,54.75,55.125,-0.375,14.766416710466693,0,lab,15.635996130723491,29.0,-30.0,-2,2.0794415416798357
1,50,41,46,64,37,61,74,30,16,34,53,35,50,30,63,42,0,1,50.375,40.375,10.0,5.265975239073329,0,lab,18.33712082089225,34.0,-13.0,2,2.0794415416798357
1,65,76,49,28,52,42,55,65,37,69,31,23,47,49,58,37,1,1,54.0,43.875,10.125,5.25667199407572,1,lab,12.393924923122619,28.0,-7.0,4,1.7328679513998633
1,60,52,57,61,27,36,62,27,84,42,70,71,48,51,47,49,0,0,47.75,57.75,-10.0,5.549919613940132,1,lab,13.784048752090222,15.0,-24.0,-4,2.0794415416798357
1,21,36,52,68,31,47,45,57,50,83,66,37,36,53,57,61,0,0,44.625,55.375,-10.75,4.951379981814762,1,lab,20.926956300427445,31.0,-47.0,-6,2.0794415416798357
1,41,36,49,46,37,25,34,58,52,45,75,41,12,22,52,29,0,0,40.75,41.0,-0.25,14.989750654128171,1,lab,18.376275465937052,29.0,-26.0,0,2.0794415416798357
1,63,41,41,35,30,41,42,35,24,74,57,27,50,15,51,31,0,0,41.0,41.125,-0.125,15.07354707968276,1,lab,22.646398720326374,39.0,-33.0,0,2.0794415416798357
1,58,46,86,35,76,61,25,47,72,53,56,39,55,50,62,48,1,0,54.25,54.375,-0.125,15.27508116861726,0,lab,19.662384773978967,30.0,-37.0,-2,2.0794415416798357
1,48,73,34,49,38,32,73,83,75,46,43,59,53,46,54,55,1,0,53.75,53.875,-0.125,15.10750362437727,0,lab,20.015228577260864,28.0,-27.0,-2,2.0794415416798357
1,57,65,60,24,45,15,74,50,41,37,56,58,43,44,49,67,1,0,48.75,49.375,-0.625,14.838801818009266,0,lab,22.270706656951862,28.0,-34.0,2,2.0794415416798357
1,52,63,24,37,43,23,82,49,59,42,44,28,52,58,52,44,1,0,46.625,47.375,-0.75,14.415750888103101,0,lab,19.992185973524755,30.0,-35.0,0,2.0794415416798357
1,75,49,42,51,38,33,56,29,41,48,83,69,59,56,39,63,1,0,46.625,57.25,-10.625,4.612973399810532,0,lab,24.170940714006147,34.0,-41.0,-2,2.0794415416798357
