subject,sequenceA1,sequenceA2,sequenceA3,sequenceA4,sequenceA5,sequenceA6,sequenceA7,sequenceA8,sequenceB1,sequenceB2,sequenceB3,sequenceB4,sequenceB5,sequenceB6,sequenceB7,sequenceB8,isDifferentMeanSameVariance,sequenceChoiceLeft,EV_left,EV_right,EV_diff,normative_choice,is_correct,complexity_diff,complexity_sd,complexity,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy,economic_loss
1,29,52,75,46,64,27,80,40,41,56,35,53,61,51,54,68,0,0,51.625,52.375,-0.75,0,1,-0.75,15.405626677721791,14.655626677721791,21.935986415021322,40.0,-28.0,-2,2.0794415416798357,0.0
1,67,43,60,64,60,22,51,50,46,47,36,53,68,37,19,31,1,1,52.125,42.125,10.0,1,1,-10.0,15.125585388120797,5.125585388120797,15.921683328090658,32.0,-15.0,2,2.0794415416798357,0.0
1,66,50,39,48,36,59,45,55,14,31,65,71,57,46,46,68,0,0,49.75,49.75,0.0,0,1,-0.0,15.132745950421556,15.132745950421556,25.124689052802225,52.0,-26.0,-2,2.0794415416798357,0.0
1,37,43,12,58,56,40,30,47,44,37,32,50,36,72,67,62,1,0,40.375,50.0,-9.625,0,1,-9.625,15.367579510124553,5.742579510124553,18.794530454363578,20.0,-37.0,-2,2.0794415416798357,0.0
1,38,39,76,29,40,54,57,38,69,61,75,26,61,56,51,51,1,0,46.375,56.25,-9.875,0,1,-9.875,15.28711330936398,5.4121133093639795,12.868930608251798,6.0,-31.0,-2,2.0794415416798357,0.0
1,48,67,50,55,39,50,64,40,50,60,44,28,54,92,32,59,0,0,51.625,52.375,-0.75,0,1,-0.75,15.222789932641563,14.472789932641563,22.878756522153907,32.0,-42.0,0,2.0794415416798357,0.0
1,76,45,39,31,44,55,64,43,57,96,62,53,61,54,49,50,1,0,49.625,60.25,-10.625,0,1,-10.625,15.394668990703677,4.769668990703677,21.318639145123687,19.0,-51.0,-2,2.0794415416798357,0.0
1,51,42,59,36,74,55,23,49,43,72,74,35,48,72,56,71,1,0,48.625,58.875,-10.25,0,1,-10.25,15.80506248010428,5.555062480104279,18.99835519196333,26.0,-33.0,-2,2.0794415416798357,0.0
1,65,82,54,77,62,55,39,45,49,35,54,47,36,54,44,83,1,0,59.875,50.25,9.625,1,0,-9.625,15.246720958947206,5.621720958947206,24.417910946680102,47.0,-38.0,3,2.0794415416798357,9.625
1,56,36,21,26,53,26,56,78,52,52,37,40,43,30,59,37,0,0,44.0,43.75,0.25,1,0,-0.25,15.121177202850312,14.871177202850312,17.781661902083282,41.0,-16.0,-2,1.9061547465398496,0.25
1,56,40,40,61,53,33,48,58,52,47,22,80,31,63,32,62,0,0,48.625,48.625,0.0,0,1,-0.0,15.028306624500313,15.028306624500313,17.342145196024624,22.0,-30.0,0,2.0794415416798357,0.0
1,49,48,61,47,55,70,50,70,80,76,61,46,29,27,63,64,0,1,56.25,55.75,0.5,1,1,-0.5,15.12613632095123,14.62613632095123,23.648467180770936,43.0,-31.0,1,2.0794415416798357,0.0
1,44,43,38,64,31,58,21,61,47,53,54,36,50,58,87,58,1,0,45.0,55.375,-10.375,0,1,-10.375,15.358900785320978,4.983900785320978,25.034663468878506,28.0,-66.0,-3,2.0794415416798357,0.0
1,53,42,86,63,65,26,49,27,66,40,47,59,50,38,60,50,0,0,51.375,51.25,0.125,1,0,-0.125,15.343701204946175,15.218701204946175,18.469146569346403,39.0,-23.0,0,2.0794415416798357,0.125
1,39,64,52,46,42,58,58,68,54,53,57,62,76,16,33,73,0,0,53.375,53.0,0.375,1,0,-0.375,15.402245507284535,15.027245507284535,22.9016238507229,42.0,-34.0,-2,1.9061547465398496,0.375
1,42,66,61,49,34,77,71,58,47,50,37,27,60,72,49,33,1,1,57.25,46.875,10.375,1,1,-10.375,15.154619757684452,4.779619757684452,16.918462548352316,25.0,-26.0,4,1.9061547465398496,0.0
