sequenceLeft_1,sequenceLeft_2,sequenceLeft_3,sequenceLeft_4,sequenceLeft_5,sequenceLeft_6,sequenceLeft_7,sequenceLeft_8,sequenceRight_1,sequenceRight_2,sequenceRight_3,sequenceRight_4,sequenceRight_5,sequenceRight_6,sequenceRight_7,sequenceRight_8,diffSequence_1,diffSequence_2,diffSequence_3,diffSequence_4,diffSequence_5,diffSequence_6,diffSequence_7,diffSequence_8,flip,responseLeft,confidence,EV_left,EV_right,EV_diff,normative_choice,is_correct,complexity_diff,complexity_sd,complexity,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy
40,24,45,59,64,65,38,31,36,57,71,28,37,60,47,62,4,-33,-26,31,27,5,-9,-31,1,0,4,45.75,49.75,-4.0,0,1,-4.0,14.875035013964393,10.875035013964393,23.47871376374779,31.0,-33.0,0,2.0794415416798357
42,33,29,30,53,67,67,47,44,13,32,46,30,61,31,50,-2,20,-3,-16,23,6,36,-3,0,1,5,46.0,38.375,7.625,1,1,-7.625,15.144718551363047,7.519718551363047,16.10075696978251,36.0,-16.0,0,1.9061547465398496
45,67,34,59,48,33,68,69,41,55,16,52,44,63,63,57,4,12,18,7,4,-30,5,12,0,1,2,52.875,48.875,4.0,1,1,-4.0,14.845313514147598,10.845313514147598,13.647344063956181,18.0,-30.0,6,1.7328679513998633
41,43,43,59,34,11,53,28,66,51,46,53,30,61,46,21,-25,-8,-3,6,4,-50,7,7,1,0,6,39.0,46.75,-7.75,0,1,-7.75,15.00610986676205,7.256109866762049,18.93244569515518,7.0,-50.0,0,1.9061547465398496
79,58,48,59,48,50,29,38,17,53,54,45,50,44,69,43,62,5,-6,14,-2,6,-40,-5,0,0,3,51.125,46.875,4.25,1,0,-4.25,14.48677557866714,10.23677557866714,26.508253431714433,62.0,-40.0,0,2.0794415416798357
62,17,54,63,37,43,57,44,58,48,60,18,40,39,25,55,4,-31,-6,45,-3,4,32,-11,0,1,1,47.125,42.875,4.25,1,1,-4.25,15.019986684414869,10.769986684414869,22.53746880197508,45.0,-31.0,0,1.9061547465398496
51,43,32,28,23,40,71,31,40,40,46,27,46,52,56,77,11,3,-14,1,-23,-12,15,-46,1,1,2,39.875,48.0,-8.125,0,0,-8.125,15.12379471781691,6.99879471781691,18.75124995833611,15.0,-46.0,0,2.0794415416798357
67,43,22,58,39,41,54,65,28,19,45,40,40,50,68,37,39,24,-23,18,-1,-9,-14,28,0,1,3,48.625,40.875,7.75,1,1,-7.75,14.946571513226704,7.196571513226704,21.010414084448694,39.0,-23.0,0,2.0794415416798357
47,26,30,54,38,26,69,48,42,39,43,75,42,36,73,51,5,-13,-13,-21,-4,-10,-4,-3,1,0,6,42.25,50.125,-7.875,0,1,-7.875,15.28057045182978,7.40557045182978,7.490619133289317,5.0,-21.0,-6,1.7328679513998633
84,47,55,53,40,37,46,47,42,39,53,38,71,59,78,59,42,8,2,15,-31,-22,-32,-12,1,0,5,51.125,54.875,-3.75,0,1,-3.75,14.315492772983168,10.565492772983168,23.8681272830526,42.0,-32.0,0,2.0794415416798357
