subject,sequences_ 1,sequences_ 2,sequences_ 3,sequences_ 4,sequences_ 5,sequences_ 6,sequences_ 7,sequences_ 8,sequences_ 9,sequences_10,sequences_11,sequences_12,sequences_13,sequences_14,sequences_15,sequences_16,responseLeft,EV_left,EV_right,EV_diff,normative_choice,is_correct,complexity_diff,complexity_sd,complexity,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy
1,71,32,44,49,59,39,33,61,27,33,29,56,62,34,23,44,1,48.5,38.5,10.0,1,1,-10.0,14.601369798755183,4.601369798755183,15.14100392972672,44.0,-7.0,2,2.0794415416798357
1,55,62,33,37,57,46,52,78,24,34,70,40,26,53,34,55,1,52.5,42.0,10.5,1,1,-10.5,15.614096195425466,5.114096195425466,22.64950330581225,31.0,-37.0,2,1.9061547465398496
1,41,44,34,46,37,44,37,80,51,38,73,70,29,66,51,59,0,45.375,54.625,-9.25,0,1,-9.25,15.31012736720371,6.060127367203711,18.48479104561369,21.0,-39.0,-2,2.0794415416798357
1,23,18,43,49,52,32,18,53,60,52,37,50,40,49,21,70,0,36.0,47.375,-11.375,0,1,-11.375,15.649148006627497,4.274148006627497,16.79983258845159,12.0,-37.0,-4,1.9061547465398496
1,34,58,50,63,42,74,34,53,57,28,36,51,33,62,22,42,1,51.0,41.375,9.625,1,1,-9.625,14.54289631859257,4.91789631859257,13.77441015071063,30.0,-23.0,6,1.6674619334292946
1,48,63,28,44,63,58,27,34,57,26,51,29,35,47,15,25,1,45.625,35.625,10.0,1,1,-10.0,15.178383752341134,5.178383752341134,17.797471730557685,37.0,-23.0,4,2.0794415416798357
1,52,32,25,72,33,34,40,50,25,55,55,61,74,37,51,64,0,42.25,52.75,-10.5,0,1,-10.5,15.748015748023622,5.248015748023622,20.627651344736268,27.0,-41.0,-4,2.0794415416798357
1,22,55,57,50,26,30,36,26,21,29,66,40,53,45,62,53,0,37.75,46.125,-8.375,0,1,-8.375,15.035374953754895,6.660374953754895,18.220438386603107,26.0,-27.0,-2,1.9061547465398496
1,39,59,69,60,66,39,87,65,40,36,64,56,74,59,42,38,0,60.5,51.125,9.375,1,0,-9.375,15.245627788538807,5.8706277885388065,19.640121562760246,45.0,-20.0,2,2.0794415416798357
1,28,74,40,40,57,47,45,33,36,50,80,54,64,68,38,51,0,45.5,55.125,-9.625,0,1,-9.625,15.071910960458863,5.4469109604588635,17.881117834184753,24.0,-40.0,-4,2.0794415416798357
1,60,43,42,40,54,37,58,80,49,51,53,67,55,96,53,71,0,51.75,61.875,-10.125,0,1,-10.125,15.5143750545529,5.3893750545529,21.802737786800996,11.0,-59.0,-2,2.0794415416798357
1,76,59,51,40,58,67,34,42,45,61,49,42,37,15,62,48,1,53.375,44.875,8.5,1,1,-8.5,14.76877336364353,6.268773363643531,23.345235059857504,52.0,-28.0,0,1.9061547465398496
1,78,60,49,44,26,49,48,67,63,55,55,35,53,31,18,33,1,52.625,42.875,9.75,1,1,-9.75,15.993748778819805,6.243748778819805,18.423829677892705,34.0,-27.0,4,2.0794415416798357
1,68,67,63,37,45,31,64,49,52,28,36,55,62,46,19,50,1,53.0,43.5,9.5,1,1,-9.5,14.866068747318506,5.366068747318506,24.1039415863879,45.0,-18.0,0,2.0794415416798357
1,60,64,63,47,85,40,78,57,41,66,64,77,46,36,50,42,1,61.75,52.75,9.0,1,1,-9.0,14.897427070918432,5.897427070918432,19.887181801351343,39.0,-30.0,2,2.0794415416798357
1,41,59,46,90,45,56,42,53,46,67,77,64,57,39,80,78,0,54.0,63.5,-9.5,0,1,-9.5,15.855598380382874,6.355598380382874,20.93442141545832,26.0,-38.0,-4,2.0794415416798357
1,19,33,48,53,43,24,65,39,52,38,39,81,39,41,56,58,0,40.5,50.5,-10.0,0,1,-10.0,15.366630513334188,5.366630513334188,15.5161206491829,9.0,-33.0,-2,1.9061547465398496
1,61,53,58,46,76,32,62,38,41,25,43,64,39,51,60,27,1,53.25,43.75,9.5,1,1,-9.5,14.523544103741804,5.023544103741804,18.9274932307477,37.0,-19.0,4,2.0794415416798357
1,57,81,47,60,52,55,29,56,70,40,24,53,50,40,32,39,1,54.625,43.5,11.125,1,1,-11.125,14.924113597351994,3.799113597351994,15.671929523833368,41.0,-13.0,4,2.0794415416798357
1,43,56,43,62,49,89,54,43,26,53,48,32,57,32,72,46,1,54.875,45.75,9.125,1,1,-9.125,15.59794324048313,6.472943240483129,22.920719338624608,57.0,-18.0,0,2.0794415416798357
1,42,41,65,52,40,57,80,71,64,54,72,67,53,70,44,90,0,56.0,64.25,-8.25,0,1,-8.25,14.72809107341025,6.4780910734102495,17.239127008059313,36.0,-22.0,-6,1.6674619334292946
1,42,49,31,32,38,41,65,75,17,26,54,34,37,40,56,23,1,46.625,35.875,10.75,1,1,-10.75,15.429409148333148,4.679409148333148,21.063890903629368,52.0,-23.0,4,1.9061547465398496
1,71,35,49,62,83,57,53,68,31,41,36,50,51,40,73,63,1,59.75,48.125,11.625,1,1,-11.625,15.211700540483085,3.5867005404830845,18.0481127822274,40.0,-20.0,4,2.0794415416798357
1,33,30,32,59,42,60,20,49,69,46,74,53,50,31,35,37,0,40.625,49.375,-8.75,0,1,-8.75,15.222789932641563,6.472789932641563,22.398381637966615,29.0,-42.0,-2,2.0794415416798357
1,21,40,29,32,49,64,51,52,75,46,60,46,67,30,37,54,0,42.25,51.875,-9.625,0,1,-9.625,15.057528571006156,5.432528571006156,25.119402361521264,34.0,-54.0,-4,2.0794415416798357
1,36,55,56,61,55,67,76,27,37,62,47,38,34,60,19,55,0,54.125,44.0,10.125,1,0,-10.125,15.686379442050992,5.561379442050992,23.35293075825816,57.0,-28.0,2,2.0794415416798357
1,35,57,40,17,30,51,62,47,64,50,57,62,36,78,39,40,0,42.375,53.25,-10.875,0,1,-10.875,15.341528607019576,4.466528607019576,21.215781272439628,23.0,-45.0,-2,1.9061547465398496
1,53,70,21,54,48,41,32,57,37,72,59,74,52,44,54,77,0,47.0,58.625,-11.625,0,1,-11.625,15.689566596945882,4.064566596945882,15.539767533653777,16.0,-38.0,-6,1.9061547465398496
1,53,40,56,79,34,35,51,63,42,50,67,42,56,21,29,36,1,51.375,42.875,8.5,1,1,-8.5,15.134397906755327,6.634397906755327,19.448650338776723,37.0,-22.0,2,2.0794415416798357
1,52,48,43,65,29,25,55,59,38,25,60,24,21,36,29,62,1,47.0,36.875,10.125,1,1,-10.125,15.450862974820101,5.325862974820101,18.523211789535853,41.0,-17.0,2,2.0794415416798357
1,21,52,30,50,57,20,48,37,49,34,40,24,59,69,62,54,0,39.375,48.875,-9.5,0,1,-9.5,15.165201394420494,5.665201394420494,22.5055548698538,26.0,-49.0,-4,2.0794415416798357
1,63,88,43,65,73,69,42,72,50,46,25,51,52,78,64,62,1,64.375,53.5,10.875,1,1,-10.875,15.951880766856302,5.076880766856302,18.072337286582496,42.0,-22.0,4,2.0794415416798357
1,27,43,59,66,52,63,53,31,54,18,47,44,55,36,45,19,1,49.25,39.75,9.5,1,1,-9.5,14.75578982411085,5.255789824110851,16.605721905415614,27.0,-27.0,4,1.9061547465398496
1,76,74,61,45,77,57,74,41,69,38,54,75,69,35,50,46,1,63.125,54.5,8.625,1,1,-8.625,14.918528747835692,6.293528747835692,18.867548197897893,36.0,-30.0,4,1.9061547465398496
1,59,23,66,47,56,53,58,30,65,46,39,16,39,33,40,29,1,49.0,38.375,10.625,1,1,-10.625,15.089593544338209,4.464593544338209,17.19692923169715,31.0,-23.0,4,2.0794415416798357
1,66,45,24,50,56,21,35,32,32,52,28,65,64,69,56,48,0,41.125,51.75,-10.625,0,1,-10.625,15.945610681312898,5.320610681312898,21.236392702151655,34.0,-48.0,-6,2.0794415416798357
1,57,51,57,55,22,51,57,80,19,48,61,37,49,26,55,55,1,53.75,43.75,10.0,1,1,-10.0,15.737428845483835,5.737428845483835,19.28730152198591,38.0,-27.0,4,1.9061547465398496
1,29,21,55,40,19,48,38,56,41,81,43,29,43,52,46,49,0,38.25,48.0,-9.75,0,1,-9.75,15.05047064601857,5.300470646018571,22.230328382639787,12.0,-60.0,-2,2.0794415416798357
1,32,82,56,51,51,55,56,42,72,73,47,62,86,70,38,68,0,53.125,64.5,-11.375,0,1,-11.375,15.488571055243712,4.113571055243712,20.303555723074716,18.0,-40.0,-2,1.9061547465398496
1,48,43,23,44,72,34,35,63,18,47,25,53,52,26,44,18,1,45.25,35.375,9.875,1,1,-9.875,15.827060160792128,5.9520601607921275,18.677777571220833,45.0,-9.0,0,1.9061547465398496
1,57,37,29,22,26,40,60,30,33,47,60,35,54,68,23,54,0,37.625,46.75,-9.125,0,1,-9.125,14.945316992288923,5.820316992288923,24.116578841120894,37.0,-31.0,-4,1.9061547465398496
1,79,56,41,77,47,44,74,50,36,38,38,59,66,64,29,56,1,58.5,48.25,10.25,1,1,-10.25,15.534370494701955,5.284370494701955,23.684119151870522,45.0,-20.0,2,1.9061547465398496
1,56,38,21,16,33,40,56,31,35,26,54,35,34,69,55,60,0,36.375,46.0,-9.625,0,1,-9.625,15.284932668044915,5.659932668044915,19.29337645410984,21.0,-33.0,-2,1.9061547465398496
1,62,28,22,35,52,39,25,47,45,49,30,69,40,72,42,46,0,38.75,49.125,-10.375,0,1,-10.375,14.739827000341625,4.364827000341625,18.068878631503395,17.0,-34.0,-2,2.0794415416798357
1,41,47,22,17,51,43,63,34,52,61,35,45,63,19,60,50,0,39.75,48.125,-8.375,0,1,-8.375,15.1765993116596,6.801599311659601,14.551095319597078,24.0,-28.0,-4,2.0794415416798357
1,21,40,36,46,15,51,54,55,53,49,63,32,31,38,55,72,0,39.75,49.125,-9.375,0,1,-9.375,15.14801967255126,5.773019672551261,15.976056303105594,14.0,-32.0,-4,2.0794415416798357
1,64,61,57,73,44,44,69,29,75,32,82,67,63,55,76,71,0,55.125,65.125,-10.0,0,1,-10.0,15.709339048264676,5.709339048264676,19.742087022399634,29.0,-42.0,-4,1.9061547465398496
1,25,50,70,53,39,58,58,67,71,68,63,42,45,69,49,83,0,52.5,61.25,-8.75,0,1,-8.75,14.809343897238211,6.059343897238211,17.647591903713096,11.0,-46.0,-2,2.0794415416798357
1,18,52,64,28,29,41,57,37,42,48,59,52,67,54,52,18,0,40.75,49.0,-8.25,0,1,-8.25,15.305227865013967,7.055227865013967,18.191687662226393,19.0,-38.0,0,1.7328679513998633
1,38,45,42,15,38,54,60,62,71,41,52,61,76,69,34,44,0,44.25,56.0,-11.75,0,1,-11.75,15.995311813153252,4.245311813153252,24.71209218176397,26.0,-46.0,-2,2.0794415416798357
1,43,50,47,50,18,57,36,18,58,64,31,54,37,37,71,48,0,39.875,50.0,-10.125,0,1,-10.125,14.968717379922703,4.843717379922703,18.570389737428776,20.0,-35.0,-4,2.0794415416798357
1,50,67,54,85,76,40,66,66,39,56,76,26,51,69,49,58,0,63.0,53.0,10.0,1,0,-10.0,15.556349186104045,5.556349186104045,25.558755838264116,59.0,-29.0,4,1.9061547465398496
1,36,57,50,46,68,19,48,35,67,73,41,38,57,33,47,68,0,44.875,53.0,-8.125,0,1,-8.125,15.211700540483085,7.0867005404830845,16.73646841481201,11.0,-33.0,0,2.0794415416798357
1,74,58,49,38,46,59,43,21,42,35,30,51,70,29,34,18,0,48.5,38.625,9.875,1,0,-9.875,16.16567866396789,6.290678663967888,18.9369843164111,32.0,-24.0,4,2.0794415416798357
1,26,52,65,44,54,75,52,39,51,25,34,34,44,61,58,26,1,50.875,41.625,9.25,1,1,-9.25,14.870552556422822,5.6205525564228225,16.701422095139083,31.0,-25.0,4,1.9061547465398496
1,71,61,71,29,54,47,32,50,61,28,51,33,25,38,65,29,1,51.875,41.25,10.625,1,1,-10.625,16.194520678303512,5.569520678303512,19.85533618451221,33.0,-33.0,4,2.0794415416798357
1,34,38,68,65,52,25,43,43,61,45,58,74,72,31,48,54,0,46.0,55.375,-9.375,0,1,-9.375,14.876015371507698,5.501015371507698,10.233981385560558,10.0,-27.0,-6,2.0794415416798357
1,61,15,47,43,42,60,52,33,43,61,69,78,65,43,36,51,0,44.125,55.75,-11.625,0,1,-11.625,15.59259974047518,3.9675997404751797,23.626984043673453,18.0,-46.0,-2,2.0794415416798357
1,44,40,74,49,58,50,68,79,47,34,62,71,53,51,24,44,0,57.75,48.25,9.5,1,0,-9.5,14.98888477061141,5.48888477061141,19.80530232033836,44.0,-22.0,2,2.0794415416798357
