mean_left,mean_right,var_left,var_right,diff_mean,mean_var,diff_var,response_left,correct,source
54.0,54.0,386.57142857142856,99.42857142857143,0.0,243.0,287.1428571428571,0,1,data_lab
44.375,54.25,233.98214285714286,230.21428571428572,-9.875,232.09821428571428,3.767857142857139,1,0,data_lab
57.375,46.625,220.83928571428572,234.26785714285714,10.75,227.55357142857144,-13.428571428571416,1,1,data_lab
50.625,40.75,231.98214285714286,217.92857142857142,9.875,224.95535714285714,14.053571428571445,0,0,data_lab
44.625,54.75,221.41071428571428,217.64285714285714,-10.125,219.52678571428572,3.767857142857139,0,1,data_lab
42.75,53.375,216.21428571428572,218.26785714285714,-10.625,217.24107142857144,-2.0535714285714164,0,1,data_lab
59.0,58.75,413.14285714285717,101.92857142857143,0.25,257.5357142857143,311.2142857142857,1,1,data_lab
57.0,56.875,106.85714285714286,403.26785714285717,0.125,255.0625,-296.41071428571433,1,1,data_lab
56.375,56.25,387.125,102.78571428571429,0.125,244.95535714285714,284.3392857142857,1,1,data_lab
50.125,60.125,237.83928571428572,223.26785714285714,-10.0,230.55357142857144,14.571428571428584,0,1,data_lab
40.625,50.625,236.26785714285714,229.41071428571428,-10.0,232.83928571428572,6.857142857142861,0,1,data_lab
57.125,57.375,90.69642857142857,417.125,-0.25,253.91071428571428,-326.42857142857144,0,1,data_lab
52.0,41.875,224.0,227.26785714285714,10.125,225.63392857142856,-3.267857142857139,1,1,data_lab
55.875,45.875,236.98214285714286,211.83928571428572,10.0,224.41071428571428,25.14285714285714,1,1,data_lab
44.0,44.375,96.57142857142857,398.26785714285717,-0.375,247.41964285714286,-301.6964285714286,0,1,data_lab
58.25,57.875,109.92857142857143,417.55357142857144,0.375,263.74107142857144,-307.625,0,0,data_lab
53.875,44.25,231.55357142857142,211.92857142857142,9.625,221.74107142857142,19.625,1,1,data_lab
45.125,54.625,227.83928571428572,217.125,-9.5,222.48214285714286,10.714285714285722,1,0,data_lab
57.75,48.125,214.78571428571428,215.55357142857142,9.625,215.16964285714283,-0.7678571428571388,1,1,data_lab
39.75,39.875,417.92857142857144,90.69642857142857,-0.125,254.3125,327.2321428571429,1,0,data_lab
53.75,43.75,223.64285714285714,214.21428571428572,10.0,218.92857142857144,9.428571428571416,1,1,data_lab
